location,name,freq,weighting,n_factors,date,ret
per,accruals,monthly,vw_cap,5,2020-09-30,0.059037115326008
per,accruals,monthly,vw_cap,5,2020-10-31,0.0383047066022973
per,accruals,monthly,vw_cap,5,2020-11-30,-0.120095754744308
per,accruals,monthly,vw_cap,5,2020-12-31,-0.0100453819920707
per,accruals,monthly,vw_cap,5,2021-01-31,0.0648313000321993
per,accruals,monthly,vw_cap,5,2021-02-28,-0.0415087984701735
per,accruals,monthly,vw_cap,6,2021-03-31,0.0670039801121718
per,accruals,monthly,vw_cap,6,2021-04-30,0.0198505304378114
per,accruals,monthly,vw_cap,6,2021-05-31,0.115935620150684
per,accruals,monthly,vw_cap,6,2021-06-30,-0.0382118427621175
per,accruals,monthly,vw_cap,6,2021-07-31,-0.00808938290261457
per,accruals,monthly,vw_cap,5,2021-08-31,-0.0565984620509284
per,accruals,monthly,vw_cap,5,2021-09-30,0.011663016483266
per,accruals,monthly,vw_cap,6,2021-10-31,-0.0305155703434905
per,accruals,monthly,vw_cap,6,2021-11-30,-0.0328265982903042
per,accruals,monthly,vw_cap,6,2021-12-31,0.00178117769336428
per,accruals,monthly,vw_cap,6,2022-01-31,-0.0651505556426491
per,accruals,monthly,vw_cap,6,2022-02-28,0.0178880450194626
per,accruals,monthly,vw_cap,6,2022-03-31,0.0274739665743982
per,accruals,monthly,vw_cap,6,2022-04-30,-0.0213627714655672
per,accruals,monthly,vw_cap,6,2022-05-31,-0.0431636015221461
per,accruals,monthly,vw_cap,6,2022-06-30,0.0139752619628928
per,accruals,monthly,vw_cap,6,2022-07-31,-0.0266935212407049
per,accruals,monthly,vw_cap,6,2022-08-31,-0.00594669087602633
per,accruals,monthly,vw_cap,6,2022-09-30,0.0101755847732338
per,accruals,monthly,vw_cap,6,2022-10-31,-0.0700862222271187
per,accruals,monthly,vw_cap,6,2022-11-30,0.146834367436278
per,accruals,monthly,vw_cap,6,2022-12-31,-0.102654706690838
per,accruals,monthly,vw_cap,6,2023-01-31,0.071704093442584
per,accruals,monthly,vw_cap,6,2023-02-28,0.0653208387671043
per,accruals,monthly,vw_cap,6,2023-03-31,-0.0231071591254423
per,accruals,monthly,vw_cap,6,2023-04-30,0.0461305130662206
per,accruals,monthly,vw_cap,6,2023-05-31,0.0116017813197462
per,accruals,monthly,vw_cap,6,2023-06-30,0.00920756621686476
per,accruals,monthly,vw_cap,6,2023-07-31,0.0495575937647632
per,accruals,monthly,vw_cap,6,2023-08-31,-0.0280382688707832
per,accruals,monthly,vw_cap,6,2023-09-30,-0.0288234627138302
per,accruals,monthly,vw_cap,6,2023-10-31,-0.0366087656456091
per,accruals,monthly,vw_cap,6,2023-11-30,0.0223448664493704
per,accruals,monthly,vw_cap,6,2023-12-31,-0.0371034827197026
per,accruals,monthly,vw_cap,6,2024-01-31,-0.00728920109525396
