location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,mkt,monthly,vw_cap,na,51,na,2006-06-30,0.102220586
per,mkt,monthly,vw_cap,na,54,na,2006-07-31,0.0851041787
per,mkt,monthly,vw_cap,na,56,na,2006-08-31,0.0475161746
per,mkt,monthly,vw_cap,na,55,na,2006-09-30,0.0715834151
per,mkt,monthly,vw_cap,na,56,na,2006-10-31,0.0344264791
per,mkt,monthly,vw_cap,na,53,na,2006-11-30,0.0337830823
per,mkt,monthly,vw_cap,na,52,na,2006-12-31,0.0636331939
per,mkt,monthly,vw_cap,na,52,na,2007-01-31,0.0382568133
per,mkt,monthly,vw_cap,na,51,na,2007-02-28,0.0676357933
per,mkt,monthly,vw_cap,na,55,na,2007-03-31,0.1063671299
per,mkt,monthly,vw_cap,na,56,na,2007-04-30,0.1855171404
per,mkt,monthly,vw_cap,na,56,na,2007-05-31,-0.020370373
per,mkt,monthly,vw_cap,na,62,na,2007-06-30,0.096974328
per,mkt,monthly,vw_cap,na,63,na,2007-07-31,0.0332030296
per,mkt,monthly,vw_cap,na,69,na,2007-08-31,-0.103030797
per,mkt,monthly,vw_cap,na,68,na,2007-09-30,0.0931193664
per,mkt,monthly,vw_cap,na,65,na,2007-10-31,0.0850600889
per,mkt,monthly,vw_cap,na,66,na,2007-11-30,-0.095262805
per,mkt,monthly,vw_cap,na,68,na,2007-12-31,0.0173721887
per,mkt,monthly,vw_cap,na,68,na,2008-01-31,-0.086706748
per,mkt,monthly,vw_cap,na,66,na,2008-02-29,0.1406003075
per,mkt,monthly,vw_cap,na,67,na,2008-03-31,0.0219682349
per,mkt,monthly,vw_cap,na,67,na,2008-04-30,-0.011336485
per,mkt,monthly,vw_cap,na,66,na,2008-05-31,0.0140882282
per,mkt,monthly,vw_cap,na,69,na,2008-06-30,-0.041779659
per,mkt,monthly,vw_cap,na,69,na,2008-07-31,-0.091800818
per,mkt,monthly,vw_cap,na,66,na,2008-08-31,-0.071799421
per,mkt,monthly,vw_cap,na,65,na,2008-09-30,-0.093233842
per,mkt,monthly,vw_cap,na,65,na,2008-10-31,-0.346959993
per,mkt,monthly,vw_cap,na,64,na,2008-11-30,0.1225454634
per,mkt,monthly,vw_cap,na,63,na,2008-12-31,0.0185889776
per,mkt,monthly,vw_cap,na,59,na,2009-01-31,-0.043346487
per,mkt,monthly,vw_cap,na,60,na,2009-02-28,-0.03397018
per,mkt,monthly,vw_cap,na,62,na,2009-03-31,0.2203148357
per,mkt,monthly,vw_cap,na,62,na,2009-04-30,0.089915082
per,mkt,monthly,vw_cap,na,61,na,2009-05-31,0.194936551
per,mkt,monthly,vw_cap,na,61,na,2009-06-30,-0.00386754
per,mkt,monthly,vw_cap,na,61,na,2009-07-31,0.1039696638
per,mkt,monthly,vw_cap,na,63,na,2009-08-31,0.0402706989
per,mkt,monthly,vw_cap,na,63,na,2009-09-30,0.1295004738
per,mkt,monthly,vw_cap,na,65,na,2009-10-31,-0.003504587
per,mkt,monthly,vw_cap,na,65,na,2009-11-30,-0.001237593
per,mkt,monthly,vw_cap,na,66,na,2009-12-31,0.0149334982
per,mkt,monthly,vw_cap,na,68,na,2010-01-31,0.0118304868
per,mkt,monthly,vw_cap,na,62,na,2010-02-28,-0.01689691
per,mkt,monthly,vw_cap,na,63,na,2010-03-31,0.0661095596
per,mkt,monthly,vw_cap,na,64,na,2010-04-30,0.0443497544
per,mkt,monthly,vw_cap,na,66,na,2010-05-31,-0.041213457
per,mkt,monthly,vw_cap,na,64,na,2010-06-30,0.0036787655
per,mkt,monthly,vw_cap,na,61,na,2010-07-31,0.0092387291
per,mkt,monthly,vw_cap,na,64,na,2010-08-31,0.055607291
per,mkt,monthly,vw_cap,na,64,na,2010-09-30,0.1693806632
per,mkt,monthly,vw_cap,na,67,na,2010-10-31,0.0786590201
per,mkt,monthly,vw_cap,na,69,na,2010-11-30,0.0509897268
per,mkt,monthly,vw_cap,na,70,na,2010-12-31,0.0750294525
per,mkt,monthly,vw_cap,na,72,na,2011-01-31,-0.018396052
per,mkt,monthly,vw_cap,na,70,na,2011-02-28,-0.021909285
per,mkt,monthly,vw_cap,na,68,na,2011-03-31,-0.036063498
per,mkt,monthly,vw_cap,na,63,na,2011-04-30,-0.104047663
per,mkt,monthly,vw_cap,na,63,na,2011-05-31,0.0688545332
per,mkt,monthly,vw_cap,na,67,na,2011-06-30,-0.107858984
per,mkt,monthly,vw_cap,na,65,na,2011-07-31,0.124713917
per,mkt,monthly,vw_cap,na,62,na,2011-08-31,-0.032238156
per,mkt,monthly,vw_cap,na,64,na,2011-09-30,-0.097787692
per,mkt,monthly,vw_cap,na,64,na,2011-10-31,0.0830746064
per,mkt,monthly,vw_cap,na,68,na,2011-11-30,-0.011208972
per,mkt,monthly,vw_cap,na,71,na,2011-12-31,0.0013202083
per,mkt,monthly,vw_cap,na,74,na,2012-01-31,0.0663726728
per,mkt,monthly,vw_cap,na,75,na,2012-02-29,0.0544143944
per,mkt,monthly,vw_cap,na,77,na,2012-03-31,0.0498207803
per,mkt,monthly,vw_cap,na,71,na,2012-04-30,0.0203693766
per,mkt,monthly,vw_cap,na,73,na,2012-05-31,-0.063703742
per,mkt,monthly,vw_cap,na,74,na,2012-06-30,-0.005453442
per,mkt,monthly,vw_cap,na,70,na,2012-07-31,0.0032326473
per,mkt,monthly,vw_cap,na,67,na,2012-08-31,0.0033953716
per,mkt,monthly,vw_cap,na,78,na,2012-09-30,0.0687038106
per,mkt,monthly,vw_cap,na,73,na,2012-10-31,-0.009866878
per,mkt,monthly,vw_cap,na,71,na,2012-11-30,0.0155472507
per,mkt,monthly,vw_cap,na,72,na,2012-12-31,0.0525968771
per,mkt,monthly,vw_cap,na,70,na,2013-01-31,0.0405539571
per,mkt,monthly,vw_cap,na,70,na,2013-02-28,-0.018692127
per,mkt,monthly,vw_cap,na,65,na,2013-03-31,-0.006544104
