location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,age,monthly,vw_cap,-1,78,9,2017-07-31,-0.0451410474018434
per,age,monthly,vw_cap,-1,81,8,2017-08-31,0.00988900732053826
per,age,monthly,vw_cap,-1,84,11,2017-09-30,0.0461487297437299
per,age,monthly,vw_cap,-1,83,9,2017-10-31,0.0412811064796131
per,age,monthly,vw_cap,-1,84,10,2017-11-30,-0.06230844230872
per,age,monthly,vw_cap,-1,81,11,2017-12-31,-0.0157592667604872
per,age,monthly,vw_cap,-1,86,11,2018-01-31,-0.0445598620272604
per,age,monthly,vw_cap,-1,76,9,2018-02-28,0.0138334655673744
per,age,monthly,vw_cap,-1,71,8,2018-03-31,0.227390881330196
per,age,monthly,vw_cap,-1,75,8,2018-04-30,-0.0407013136919283
per,age,monthly,vw_cap,-1,81,8,2018-05-31,-0.049355559016582
per,age,monthly,vw_cap,-1,80,8,2018-06-30,0.0573243216283605
per,age,monthly,vw_cap,-1,89,8,2018-07-31,-0.0016453856619792
per,age,monthly,vw_cap,-1,114,15,2018-08-31,0.0294257248838214
per,age,monthly,vw_cap,-1,114,15,2018-09-30,-0.0171522096569411
per,age,monthly,vw_cap,-1,116,16,2018-10-31,0.0418546298454162
per,age,monthly,vw_cap,-1,116,16,2018-11-30,-0.0279000657159349
per,age,monthly,vw_cap,-1,115,16,2018-12-31,-0.00802728170356596
per,age,monthly,vw_cap,-1,115,16,2019-01-31,-0.0471275298997578
per,age,monthly,vw_cap,-1,115,16,2019-02-28,-0.0139251782125297
per,age,monthly,vw_cap,-1,114,16,2019-03-31,0.0506147483108164
per,age,monthly,vw_cap,-1,112,15,2019-04-30,-0.00722613938031874
per,age,monthly,vw_cap,-1,112,15,2019-05-31,0.0279280874928296
per,age,monthly,vw_cap,-1,111,15,2019-06-30,-0.0221526997947667
per,age,monthly,vw_cap,-1,110,15,2019-07-31,0.0280470644069123
per,age,monthly,vw_cap,-1,111,15,2019-08-31,0.0195537080751444
per,age,monthly,vw_cap,-1,111,15,2019-09-30,-0.012294270995987
per,age,monthly,vw_cap,-1,111,15,2019-10-31,-0.0674388444313449
per,age,monthly,vw_cap,-1,111,15,2019-11-30,-0.0255789762463489
per,age,monthly,vw_cap,-1,112,15,2019-12-31,-0.0347088820717071
per,age,monthly,vw_cap,-1,111,15,2020-01-31,0.0036087242172214
per,age,monthly,vw_cap,-1,111,15,2020-02-29,0.0267612750460023
per,age,monthly,vw_cap,-1,110,15,2020-03-31,0.135286723792497
per,age,monthly,vw_cap,-1,110,15,2020-04-30,-0.0100910075725293
per,age,monthly,vw_cap,-1,110,15,2020-05-31,0.0170059998889208
per,age,monthly,vw_cap,-1,111,15,2020-06-30,-0.036135713043246
per,age,monthly,vw_cap,-1,111,15,2020-07-31,0.0735405242471432
per,age,monthly,vw_cap,-1,111,15,2020-08-31,-0.0242547782945886
per,age,monthly,vw_cap,-1,111,15,2020-09-30,-0.0255699965451176
per,age,monthly,vw_cap,-1,111,15,2020-10-31,0.0425473660352698
per,age,monthly,vw_cap,-1,111,15,2020-11-30,-0.114263267418664
per,age,monthly,vw_cap,-1,111,15,2020-12-31,-0.0136171413881505
per,age,monthly,vw_cap,-1,110,15,2021-01-31,-0.0277014930385527
per,age,monthly,vw_cap,-1,109,15,2021-02-28,-0.0326038291980852
per,age,monthly,vw_cap,-1,109,15,2021-03-31,0.0259704231668327
per,age,monthly,vw_cap,-1,108,14,2021-04-30,0.0987191091567356
per,age,monthly,vw_cap,-1,107,14,2021-05-31,-0.0353154023440309
per,age,monthly,vw_cap,-1,107,14,2021-06-30,-0.00601649379294672
per,age,monthly,vw_cap,-1,108,14,2021-07-31,0.103406557930792
per,age,monthly,vw_cap,-1,107,14,2021-08-31,0.0100452247673404
per,age,monthly,vw_cap,-1,107,14,2021-09-30,-0.0385260001041127
per,age,monthly,vw_cap,-1,107,14,2021-10-31,-0.111941127710166
per,age,monthly,vw_cap,-1,107,15,2021-11-30,-0.0177978651638201
per,age,monthly,vw_cap,-1,107,15,2021-12-31,-0.0347090856373602
per,age,monthly,vw_cap,-1,107,15,2022-01-31,-0.0811199082233749
per,age,monthly,vw_cap,-1,107,15,2022-02-28,-0.0141352269888825
per,age,monthly,vw_cap,-1,107,15,2022-03-31,-0.0358369641371623
per,age,monthly,vw_cap,-1,107,15,2022-04-30,0.0567625546925033
per,age,monthly,vw_cap,-1,106,15,2022-05-31,0.100521312219643
per,age,monthly,vw_cap,-1,106,15,2022-06-30,0.0568790714243751
per,age,monthly,vw_cap,-1,106,15,2022-07-31,-0.0257435510553365
per,age,monthly,vw_cap,-1,106,15,2022-08-31,-0.0185712760906183
per,age,monthly,vw_cap,-1,106,15,2022-09-30,-0.00417090869312396
per,age,monthly,vw_cap,-1,106,15,2022-10-31,-0.0542446121590226
per,age,monthly,vw_cap,-1,105,15,2022-11-30,-0.0391559166767163
per,age,monthly,vw_cap,-1,103,15,2022-12-31,0.0120376036105594
per,age,monthly,vw_cap,-1,104,16,2023-01-31,-0.0394706152360235
per,age,monthly,vw_cap,-1,104,16,2023-02-28,0.0246770679895421
per,age,monthly,vw_cap,-1,104,16,2023-03-31,-0.013681633151052
per,age,monthly,vw_cap,-1,104,16,2023-04-30,-0.00317678012501615
per,age,monthly,vw_cap,-1,104,16,2023-05-31,0.062023734939743
per,age,monthly,vw_cap,-1,104,16,2023-06-30,-0.0537557673638557
per,age,monthly,vw_cap,-1,104,16,2023-07-31,-0.0525552813616041
per,age,monthly,vw_cap,-1,103,16,2023-08-31,-0.00610120665087652
per,age,monthly,vw_cap,-1,104,17,2023-09-30,0.00139047491301602
per,age,monthly,vw_cap,-1,103,17,2023-10-31,0.0114986910766221
per,age,monthly,vw_cap,-1,103,17,2023-11-30,0.00448526606460836
per,age,monthly,vw_cap,-1,103,17,2023-12-31,-0.107845487456804
per,age,monthly,vw_cap,-1,103,17,2024-01-31,-0.0340250309126246
per,age,monthly,vw_cap,-1,103,17,2024-02-29,-0.0435692835332725
per,age,monthly,vw_cap,-1,103,17,2024-03-31,-0.00579389970668193
per,age,monthly,vw_cap,-1,104,18,2024-04-30,0.0716435578467159
per,age,monthly,vw_cap,-1,104,18,2024-05-31,-0.00868557834807655
